COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,QR_PRO,SEL,SEL_IHE,UNIV_PROG
SB11201220416548,M,Not sure,Complete Secundary,Other occupation,Home,Stratum 3,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,66,83,1,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
SB11201220416881,F,0,0,0,Home,Stratum 2,Level 2,Three,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,49,29,2,2,UNIVERSIDAD DEL QUINDIO-ARMENIA_ELECTRONIC ENGINEERING
SB11201220416889,F,Complete primary ,Postgraduate education,0,Home,Stratum 3,It is not classified by the SISBEN,Four,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,70,89,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220416923,F,Complete technique or technology,Complete technique or technology,Auxiliary or Administrative,Auxiliary or Administrative,Stratum 1,Level 1,Five,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,55,69,2,2,UNIVERSIDAD COOPERATIVA DE COLOMBIA-MEDELLIN_CIVIL ENGINEERING
SB11201220416931,F,Complete professional education,Complete professional education,Executive,Executive,Stratum 3,Level 3,Three,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,72,99,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220418162,M,Complete Secundary,Complete Secundary,Home,Home,Stratum 2,Esta clasificada en otro Level del SISBEN,Four,No,No,No,Yes,No,No,No,Yes,Yes,Yes,less than 1 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,84,100,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
SB11201220418170,F,Incomplete primary ,Incomplete primary ,Other occupation,Operator,Stratum 2,Level 2,Six,No,No,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,No,PUBLIC,TECHNICAL,78,95,1,2,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA_INDUSTRIAL ENGINEERING
SB11201220418392,M,Complete Secundary,Complete Secundary,Other occupation,Independent,Stratum 3,Level 1,Four,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,"Yes, less than 20 hours per week",PUBLIC,ACADEMIC,70,100,2,2,UNIVERSIDAD DE ANTIOQUIA-MEDELLIN_CIVIL ENGINEERING
SB11201220419191,F,0,Postgraduate education,0,0,Stratum 2,It is not classified by the SISBEN,Three,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,ACADEMIC,66,71,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
SB11201220419675,M,Complete professional education,Complete Secundary,Technical or professional level employee,Home,Stratum 3,Level 2,Four,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,"Yes, 20 hours or more per week",PUBLIC,TECHNICAL,58,91,1,2,UNIVERSIDAD DE ANTIOQUIA-MEDELLIN_ELECTRIC ENGINEERING
SB11201220419936,M,Complete Secundary,Complete Secundary,Operator,Home,Stratum 3,Level 2,Five,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PUBLIC,ACADEMIC,72,96,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CHEMICAL ENGINEERING
SB11201220420190,M,Incomplete Professional Education,Complete Secundary,Other occupation,Home,Stratum 3,Level 2,Four,No,No,Yes,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,ACADEMIC,70,94,1,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220420677,M,Postgraduate education,Complete professional education,Executive,Independent professional,Stratum 4,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,0,No,PRIVATE,ACADEMIC,74,94,4,4,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
